id,name,email,age,salary,department,join_date,phone
1,Sumit Verma,sumitverma@gmail.com,28.0,50000.0,Sales,15-01-20,9876543210.0
2,Pranjal Singh,pranjalsingh@gmail.com,34.0,65000.0,It,20-06-19,9876543211.0
7,Dharmesh Yadav,dharmeshyadav@gmail.com,45.0,80000.0,Management,05-11-17,9876543214.0
8,Alia Kumari,aliakumari@gmail.com,31.0,58000.0,Hr,14-02-21,9876543213.0
10,Farahan Agrawal,farahan@gmail.com,38.0,62000.0,Sales,30-09-19,9876543216.0
13,Bhanu Tiwari,bhanutiwari@gmail.com,34.0,72000.0,Finance,10-03-18,9876543212.0
14,Isha Singh,ishasinght@gmail.com,29.0,59000.0,Hr,18-05-20,9876543218.0
16,Aman Chandra,"amanchanfdra@gmail,com",31.0,58000.0,Hr,14-02-21,9876543213.0
19,Lucky Das,luckydas@gmail.com,42.0,85000.0,Management,11-10-15,9876543221.0
20,Dhruv Rahthee,dhruv@gmail.com,25.0,48000.0,It,01-06-22,9876543222.0
