ID,Name,Email,Age,Salary,Department,Join_Date,Phone
1,sumit verma,sumitverma@gmail.com,28,50000,Sales,15-01-20,9876543210
2,pranjal singh,pranjalsingh@gmail.com,34,65000,IT,20-06-19,9876543211
3,sumit verma,sumitverma@gmail.com,28,50000,Sales,15-01-20,9876543210
4,govind dhar,govinddhar@gmail.com,,72000,Finance,10-03-18,9876543212
5,sagar gupta,,31,58000,HR,14-02-21,9876543213
6,chandu verma,chanduverma@gmail.com,29,55000,Sales,22-07-20,
7,dharmesh yadav,dharmeshyadav@gmail.com,45,80000,Management,05-11-17,9876543214
8,alia kumari,aliakumari@gmail.com,31,58000,HR,14-02-21,9876543213
9,etesh goyal,eteshgoyal@gmail.com,26,,IT,08-01-22,9876543215
10,farahan agrawal,farahan@gmail.com,38,62000,Sales,30-09-19,9876543216
11,ganesh gupta,,27,53000,Marketing,12-11-21,9876543217
12,HARSHITA SHARMA,harshitasharma@gmail.com,35,70000,IT,03-12-18,
13,bhanu tiwari,bhanutiwari@gmail.com,34,72000,Finance,10-03-18,9876543212
14,isha singh,ishasinght@gmail.com,29,59000,HR,18-05-20,9876543218
15,jaspret bumrah,jaspreet@gmail.com,41,,Management,22-08-16,9876543219
16,aman chandra,"amanchanfdra@gmail,com",31,58000,hr,14-02-21,9876543213
17,,montuverma@gmail.com,37,75000,Finance,15-07-17,9876543220
18,kajal gupta,kjalgupta@gmail.com,33,61000,Sales,20-04-19,
19,lucky das,luckydas@gmail.com,42,85000,Management,11-10-15,9876543221
20,dhruv rahthee,dhruv@gmail.com,25,48000,IT,01-06-22,9876543222
